1,82.4
2,70.2
3,82
4,59.8
5,65.9
6,85.1
7,75.4
8,72.8
9,84.6
10,73.6
11,75
12,81.4
13,78.2
14,79.7
15,78.4
16,74.1
17,77.8
18,76.1
19,70.4
20,70.8
21,87.7
22,83.5
23,86.6
24,88
25,85.9
26,84.6
27,76.5
28,76.3
29,74
30,81.7
31,75.6
32,75.9
33,79.8
34,89
35,87.5
36,87.4
37,84.9
38,92.1
39,86.6
40,74.8
41,79.6
42,81.3
43,66.2
44,81.3
45,73.4
46,66.4
47,74.7
48,78.1
49,75.2
50,70
51,69.5
52,67.2
53,72.7
54,80.5
55,64.3
56,70.4
57,71.2
58,68.4
59,77.8
60,76.2
61,74.8
62,76.3
63,84
64,73.8
65,75.7
66,70.4
67,65.8
68,78.6
69,71.5
70,79.1
71,71
72,74
73,66.5
74,73.5
75,76.7
76,70.5
77,70.3
78,69.3
79,71.1
80,70.7
81,76.5
82,61.2
83,68.5
84,72.8
85,62.8
86,73
87,67.9
88,68.1
89,71.8
90,72
91,69.5
92,68.9
93,70.6
94,76.8
95,76.1
96,70.2
97,71
98,75.6
99,75.3
100,64.6
101,72
102,69.1
103,65.4
104,74.2
105,70.2
106,64.1
107,64.6
108,67.8
109,63
110,69.7
111,70.4
112,68.9
113,72.5
114,70.3
115,68.1
116,68.2
117,65.4
118,62.6
119,66.3
120,67.7
121,68.3
122,66.6
123,66.6
124,87.5
125,83.6
126,91.3
127,73.8
128,70.7
129,69.4
130,69.8
131,85.1
132,68.5
133,69.7
134,68.2
135,68.1
136,67.5
137,81
138,71.7
139,71.4
140,67.6
141,70.5
142,62.7
143,66
144,78.9
145,70.1
146,81.1
147,77.6
148,74.3
149,74.2
150,77.5
151,73
152,73.5
153,74.1
154,90.5
155,83.3
156,84.3
157,81.5
158,80.1
159,93.5
160,83.9
161,83
162,90.1
163,77
164,88.2
165,90.5
166,70.4
167,86
168,86
169,76
170,83.3
171,76.1
172,70.7
173,81.6
174,82.1
175,71.9
176,87.7
177,86.6
178,70.8
179,73.1
180,78.9
181,84.1
182,79.7
183,74.5
184,75
185,74.7
186,73.6
187,70.6
188,76.1
189,77.3
190,70.8
191,78
192,74.3
193,68.7
194,76.2
195,77.6
196,68.5
197,68.7
198,71.3
199,68
200,73.3
201,72.7
202,71.8
203,76.1
204,89.1
205,68.4
206,76.4
207,74.1
208,68.5
209,75.2
210,74.2
211,71.6
212,73.9
213,77.5
214,82.5
215,75.9
216,84.3
217,82.7
218,80.7
219,88.4
220,69.3
221,78.2
222,75.5
223,70.3
224,83.6
225,80.5
226,70.2
227,78.3
228,80.3
229,78.4
230,84.2
231,74.3
232,74.2
233,73
234,74
235,81.1
236,74
237,68.8
238,66.2
239,71.8
240,63.8
241,69.9
242,66.7
243,66.9
244,66.7
245,66.6
246,69.6
247,65.9
248,64.4
249,65.1
250,66.9
251,65.2
252,68.4
253,69.4
254,70.1
255,68.7
256,68.5
257,72.9
258,71.7
259,80
260,85.2
261,74.9
262,67.8
263,69.2
264,72.8
265,65.6
266,76.6
267,78.4
268,65.3
269,65.3
270,72.7
271,68.4
272,78.4
273,78.5
274,86.4
275,80.1
276,82.3
277,75.6
278,82.7
279,75.6
280,70.9
281,72.7
282,75.9
283,69.7
284,71.2
285,70.9
286,69.2
287,77
288,77
289,70.3
290,70.1
291,70.4
292,69.2
293,71.7
294,69.5
295,70.4
296,74.7
297,75.9
298,72.4
299,71.2
300,72
301,70.3
302,73.7
303,71.8
304,73.1
305,74
